NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Eleocharis_dulcis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.000118722	0.00137078	0.00820022	0.0309205	0.0645196	0.123691	0.263693	0.339364	0.145239	0.0218579	0.00099965	2.52246e-05	2.7178e-07	2.58544e-09	1.10568e-11	4.26249e-14	8.09423e-17	1.37319e-19	1.50971e-22	2.37633e-25	2.90081e-28	5.09167e-31	5.03568e-34	9.92183e-37	8.19937e-40	1.12966e-42	7.05387e-46	7.38356e-49	2.94584e-52	1.92572e-55	6.14893e-59	3.63311e-62	9.16321e-66	3.16233e-69	5.71724e-73	1.44399e-76	1.87983e-80	3.28962e-84	3.60675e-88	5.73766e-92	5.31562e-96	6.10253e-100	5.10314e-104	5.81613e-108	4.8677e-112	4.50351e-116	2.97856e-120	2.12619e-124	9.43525e-129	6.06334e-133	3.01198e-137	2.67469e-141	1.24546e-145	8.36083e-150	3.94776e-154	5.32824e-158	1.69276e-161	
N13	1.07191e-05	0.000187449	0.00166275	0.00918586	0.0235396	0.0349031	0.0336528	0.122087	0.32154	0.348873	0.0940513	0.0101564	0.000146776	3.41172e-06	3.2795e-08	9.07248e-09	1.22463e-09	3.42671e-10	2.39638e-11	3.47569e-12	1.15918e-13	7.9989e-15	1.43827e-16	6.16737e-18	4.83254e-20	3.90016e-22	1.3714e-24	4.79831e-27	5.43952e-30	7.22764e-33	4.71507e-36	1.29936e-38	5.81177e-42	5.77591e-45	2.18296e-48	3.44976e-51	8.34846e-55	4.76696e-58	9.64424e-62	1.07349e-64	2.52531e-68	1.66266e-71	8.52043e-75	4.88503e-78	1.85725e-81	5.50196e-85	1.08436e-88	1.71923e-92	1.77087e-96	2.39178e-100	2.17235e-104	6.1229e-108	5.55984e-112	1.46953e-115	1.2221e-119	4.41454e-123	3.75358e-126	
Eleocharis_uniglumis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_acicularis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	1.60053e-05	0.000264079	0.00234375	0.0115951	0.0295843	0.0857049	0.255742	0.40618	0.184092	0.0236576	0.000808946	1.11463e-05	6.48749e-08	4.67934e-10	1.25211e-12	1.74128e-14	2.85861e-17	2.32135e-19	2.22564e-22	9.4465e-25	5.53845e-28	1.22589e-30	4.96211e-34	7.65281e-37	2.90233e-40	3.2714e-43	2.21439e-46	2.06678e-49	8.72862e-53	3.2094e-56	7.25903e-60	5.35467e-63	6.68855e-67	2.69275e-70	5.09352e-74	8.62203e-77	8.53035e-81	2.59104e-84	3.28566e-88	3.64413e-91	3.35929e-95	1.09705e-98	2.31454e-102	8.65089e-106	1.76112e-109	4.66127e-113	8.59561e-117	1.2309e-120	1.0418e-124	7.46352e-129	3.5867e-133	3.79425e-137	1.59523e-141	4.64226e-145	2.28302e-149	8.79063e-153	5.61259e-156	
N15	1.5868e-08	1.06048e-06	2.78653e-05	0.000442553	0.000533592	0.00873324	0.130553	0.641694	0.213358	0.00463065	2.65131e-05	6.20206e-08	6.94023e-11	6.2936e-14	3.53613e-17	4.69673e-20	2.08299e-23	2.01232e-26	5.3604e-30	2.82402e-33	4.48104e-37	1.37549e-40	1.36756e-44	2.92414e-48	2.1355e-52	3.77784e-56	3.70744e-60	6.56485e-64	5.70319e-68	4.92493e-72	2.54459e-76	2.6461e-80	9.39744e-85	7.57677e-89	2.86382e-93	5.12775e-97	1.47255e-101	9.50242e-106	2.44318e-110	2.72369e-114	5.32082e-119	2.59429e-123	5.65513e-128	4.52172e-132	1.35686e-136	7.00142e-141	2.50065e-145	7.98239e-150	1.51091e-154	2.46841e-159	2.79558e-164	4.69995e-169	4.6716e-174	1.47324e-178	2.14135e-183	1.30393e-187	1.48675e-191	
Eleocharis_mamillata_subsp_mamillata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_compressa_var_compressa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_flavescens_var_olivacea	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
