Accepted;resolved_name
Fimbristylis_autumnalis_558;Fimbristylis autumnalis
Fimbristylis_complanata;Fimbristylis complanata
Fimbristylis_aestivalis;Fimbristylis aestivalis
Fimbristylis_squarrosa;Fimbristylis squarrosa
Fimbristylis_ovata_C01;Fimbristylis ovata
Actinoschoenus_thouarsii;Actinoschoenus thouarsii
Arthrostylis_aphylla;Arthrostylis aphylla
Bulbostylis_barbata;Bulbostylis barbata
Crosslandia_setifolia;Crosslandia setifolia
Bulbostylis_juncoides;Bulbostylis juncoides
Bulbostylis_atrosanguinea;Bulbostylis atrosanguinea
Bulbostylis_densa;Bulbostylis densa
Nemum_spadiceum;Nemum spadiceum
Bulbostylis_burchellii;Bulbostylis burchellii
Bulbostylis_hispidula;Bulbostylis hispidula
Eleocharis_kuroguwai;Eleocharis kuroguwai
Eleocharis_dulcis;Eleocharis dulcis
Eleocharis_robbinsii_528;Eleocharis robbinsii
Eleocharis_equisetoides_679;Eleocharis equisetoides
Eleocharis_uniglumis;Eleocharis uniglumis
Eleocharis_wolfii_534;Eleocharis wolfii
Eleocharis_acicularis_484;Eleocharis acicularis
Eleocharis_mamillata_ssp_mamillata_505;Eleocharis mamillata subsp mamillata
Eleocharis_compressa_var_compressa_487;Eleocharis compressa var compressa
Eleocharis_flavescens_var_olivacea_499;Eleocharis flavescens var olivacea
Schoenoplectus_pungens_596;Schoenoplectus pungens
Schoenoplectus_acutus_var_acutus_585;Schoenoplectus acutus var acutus
Schoenoplectus_lacustris;Schoenoplectus lacustris
Schoenoplectus_heterochaetus_594;Schoenoplectus heterochaetus
Actinoscirpus_grossus;Actinoscirpus grossus
Scirpus_ficinioides;Scirpus ficinioides
Ficinia_tristachya;Ficinia tristachya
Hellmuthia_membranacea;Hellmuthia membranacea
Isolepis_graminoides;Isolepis graminoides
Isolepis_crassiuscula;Isolepis crassiuscula
Isolepis_sepulcralis;Isolepis sepulcralis
Isolepis_hystrix;Isolepis hystrix
Ficinia_gracilis;Ficinia gracilis
Ficinia_repens;Ficinia repens
Ficinia_spiralis;Ficinia spiralis
Ficinia_gydomontana;Ficinia gydomontana
