NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Eleocharis_dulcis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.0169565	0.0177872	0.0194407	0.0219493	0.0253344	0.0295807	0.0346077	0.0402455	0.0462208	0.0521613	0.0576189	0.0621154	0.0652027	0.0665274	0.0658887	0.0632746	0.0588686	0.0530241	0.0462121	0.038952	0.0317419	0.0249994	0.0190242	0.0139853	0.00993005	0.00680899	0.00450834	0.00288215	0.00177891	0.00106	0.000609766	0.000338625	0.000181541	9.39585e-05	4.69479e-05	2.26482e-05	1.05489e-05	4.7443e-06	2.06043e-06	8.64182e-07	3.50078e-07	1.36992e-07	5.17931e-08	1.89228e-08	6.68283e-09	2.28224e-09	7.54089e-10	2.41259e-10	7.48251e-11	2.25366e-11	6.61047e-12	1.89716e-12	5.37186e-13	1.52603e-13	4.52133e-14	1.54323e-14	7.67916e-15	
N13	0.00495469	0.00558427	0.00689097	0.00897875	0.0119838	0.0160486	0.0212831	0.0277167	0.0352459	0.0435916	0.0522797	0.0606611	0.0679768	0.0734632	0.0764806	0.076633	0.0738505	0.0684095	0.0608849	0.0520447	0.0427164	0.0336565	0.0254524	0.0184721	0.0128646	0.00859691	0.00551238	0.00339144	0.00200208	0.00113407	0.00061643	0.000321539	0.000160961	7.73357e-05	3.56658e-05	1.579e-05	6.71147e-06	2.73912e-06	1.07354e-06	4.0411e-07	1.46122e-07	5.07611e-08	1.6944e-08	5.43549e-09	1.676e-09	4.96822e-10	1.41613e-10	3.8822e-11	1.02391e-11	2.59939e-12	6.35883e-13	1.50282e-13	3.45489e-14	7.87139e-15	1.87011e-15	5.28782e-16	2.36494e-16	
Eleocharis_uniglumis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_acicularis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	0.0332467	0.0344447	0.0367425	0.0400493	0.044206	0.0489684	0.0539978	0.0588678	0.0630923	0.0661759	0.0676814	0.0673013	0.064916	0.0606242	0.0547341	0.0477166	0.0401295	0.032532	0.0254065	0.0191055	0.0138288	0.00963162	0.00645361	0.00415931	0.00257812	0.00153678	0.000880896	0.000485547	0.000257355	0.00013117	6.42917e-05	3.0305e-05	1.37385e-05	5.99047e-06	2.51257e-06	1.01379e-06	3.93549e-07	1.46999e-07	5.28375e-08	1.82784e-08	6.08632e-09	1.95097e-09	6.02126e-10	1.78948e-10	5.12191e-11	1.41213e-11	3.75087e-12	9.60041e-13	2.36847e-13	5.63459e-14	1.29383e-14	2.87415e-15	6.21519e-16	1.33145e-16	2.9704e-17	7.90035e-18	3.38355e-18	
N15	0.0377563	0.040982	0.0473153	0.0564652	0.0676423	0.0793883	0.0896605	0.0962404	0.0973662	0.0923334	0.0817776	0.0674844	0.0518089	0.0369681	0.0245044	0.0150855	0.00862535	0.00458118	0.00226101	0.00103739	0.000442718	0.00017584	6.50439e-05	2.24234e-05	7.20988e-06	2.16387e-06	6.06681e-07	1.5903e-07	3.90078e-08	8.96085e-09	1.92951e-09	3.89777e-10	7.39322e-11	1.31786e-11	2.2095e-12	3.48719e-13	5.18531e-14	7.27029e-15	9.61965e-16	1.20211e-16	1.41989e-17	1.58643e-18	1.67794e-19	1.68132e-20	1.59719e-21	1.4395e-22	1.23177e-23	1.00145e-24	7.74177e-26	5.69584e-27	3.99316e-28	2.67312e-29	1.71582e-30	1.06583e-31	6.55313e-33	4.29399e-34	4.63957e-35	
Eleocharis_mamillata_subsp_mamillata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_compressa_var_compressa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_flavescens_var_olivacea	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
