NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	
Eleocharis_dulcis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	2.25606e-06	9.69689e-07	1.73188e-06	3.10474e-06	5.28616e-06	8.29771e-06	1.19976e-05	1.65003e-05	2.30792e-05	3.49687e-05	5.66362e-05	9.11128e-05	0.000138369	0.00020498	0.00033834	0.000767971	0.00235872	0.00771696	0.0220897	0.0510212	0.0948639	0.140187	0.168429	0.167252	0.138954	0.0973638	0.057907	0.0294681	0.0129901	0.00508902	0.00178499	0.000577042	0.000174717	4.98738e-05	1.34124e-05	3.38561e-06	7.98653e-07	1.75172e-07	3.57264e-08	6.66602e-09	1.14095e-09	1.78774e-10	2.55981e-11	3.34004e-12	3.9532e-13	4.21734e-14	4.02507e-15	3.42211e-16	2.54887e-17	1.6644e-18	9.52489e-20	4.81527e-21	2.19615e-22	9.35294e-24	3.85095e-25	1.55144e-26	6.02434e-28	
N13	4.15817e-05	2.34448e-05	3.86094e-05	6.57298e-05	0.000114062	0.000194741	0.000313202	0.000469605	0.000695278	0.00111438	0.00212516	0.00563117	0.0179508	0.0484703	0.0946761	0.135611	0.148943	0.138841	0.123383	0.105955	0.0810424	0.0499774	0.0244148	0.00981837	0.00393168	0.00215892	0.00154896	0.00109807	0.000684084	0.000373084	0.000177821	7.57372e-05	2.87239e-05	9.52754e-06	2.71434e-06	6.5935e-07	1.37364e-07	2.50028e-08	4.12062e-09	6.28361e-10	9.11012e-11	1.25159e-11	1.59548e-12	1.84536e-13	1.91546e-14	1.79244e-15	1.5445e-16	1.27268e-17	1.02697e-18	8.23542e-20	6.40964e-21	4.66163e-22	3.06816e-23	1.79534e-24	9.30812e-26	4.31931e-27	1.83401e-28	
Eleocharis_uniglumis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_acicularis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	2.34248e-06	1.319e-06	1.89988e-06	2.66693e-06	3.95154e-06	6.49291e-06	1.14305e-05	2.00415e-05	3.31095e-05	5.08119e-05	7.84602e-05	0.000155371	0.000468979	0.00187296	0.00751322	0.0253212	0.065033	0.124645	0.17973	0.198244	0.172017	0.117284	0.0641579	0.0285537	0.0104827	0.00322294	0.000844551	0.000192445	3.89322e-05	7.16726e-06	1.20179e-06	1.87287e-07	2.74295e-08	3.8213e-09	5.11799e-10	6.61553e-11	8.20549e-12	9.64479e-13	1.0685e-13	1.10003e-14	1.06379e-15	9.75882e-17	8.57343e-18	7.23227e-19	5.82444e-20	4.43084e-21	3.15532e-22	2.10559e-23	1.31647e-24	7.93162e-26	4.75774e-27	2.91611e-28	1.81346e-29	1.09453e-30	6.05531e-32	2.93938e-33	1.23274e-34	
N15	5.39127e-06	3.66362e-06	5.75269e-06	6.84584e-06	5.90607e-06	3.69131e-06	1.69705e-06	3.43871e-05	0.00465487	0.0507092	0.175923	0.286267	0.261132	0.148021	0.0554137	0.0145847	0.00278271	0.000396792	4.35106e-05	3.78246e-06	2.71642e-07	1.66517e-08	9.22844e-10	4.79525e-11	2.36877e-12	1.11233e-13	4.97446e-15	2.1255e-16	8.59643e-18	3.249e-19	1.11203e-20	3.41111e-22	9.33937e-24	2.30193e-25	5.20589e-27	1.10873e-28	2.27152e-30	4.48287e-32	8.44998e-34	1.47758e-35	2.37142e-37	3.47653e-39	4.69369e-41	5.95215e-43	7.28973e-45	8.82471e-47	1.06108e-48	1.24955e-50	1.39804e-52	1.46242e-54	1.41031e-56	1.24422e-58	1.00079e-60	7.35051e-63	4.96117e-65	3.10966e-67	1.83204e-69	
Eleocharis_mamillata_subsp_mamillata	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_compressa_var_compressa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eleocharis_flavescens_var_olivacea	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
